OLD PROCEDURE: Removing passenger with lastname Macdonald, row 18, and priority value 318
OLD PROCEDURE: Removing passenger with lastname Nolan, row 20, and priority value 120
OLD PROCEDURE: Removing passenger with lastname Hooper, row 20, and priority value 120
OLD PROCEDURE: Removing passenger with lastname Maddox, row 20, and priority value 120
OLD PROCEDURE: Removing passenger with lastname Everett, row 20, and priority value 120
OLD PROCEDURE: Removing passenger with lastname Stuart, row 19, and priority value 119
OLD PROCEDURE: Removing passenger with lastname Brennan, row 19, and priority value 119
OLD PROCEDURE: Removing passenger with lastname Orr, row 19, and priority value 119
OLD PROCEDURE: Removing passenger with lastname Carey, row 19, and priority value 119
OLD PROCEDURE: Removing passenger with lastname Mcgowan, row 18, and priority value 118
OLD PROCEDURE: Removing passenger with lastname Haley, row 18, and priority value 118
OLD PROCEDURE: Removing passenger with lastname Justice, row 18, and priority value 118
OLD PROCEDURE: Removing passenger with lastname Joyner, row 18, and priority value 118
OLD PROCEDURE: Removing passenger with lastname Bean, row 18, and priority value 118
OLD PROCEDURE: Removing passenger with lastname William, row 18, and priority value 118
OLD PROCEDURE: Removing passenger with lastname Sharpe, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Sweet, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Le, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Dillard, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Crane, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Middleton, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Villarreal, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Forbes, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Peck, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Beach, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Richmond, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Fitzpatrick, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Aguirre, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Mcintyre, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Mckee, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Franco, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Zamora, row 15, and priority value 115
OLD PROCEDURE: Removing passenger with lastname Cantrell, row 15, and priority value 115
OLD PROCEDURE: Removing passenger with lastname Carver, row 15, and priority value 115
OLD PROCEDURE: Removing passenger with lastname Albert, row 15, and priority value 115
OLD PROCEDURE: Removing passenger with lastname Osborn, row 15, and priority value 115
OLD PROCEDURE: Removing passenger with lastname Wynn, row 15, and priority value 115
OLD PROCEDURE: Removing passenger with lastname Cote, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Kirkland, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Raymond, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Acevedo, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Bird, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Irwin, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Jacobson, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Kline, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Chan, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Ashley, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname David, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Hebert, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Bentley, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Horne, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Hinton, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Russo, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Melendez, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Bender, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Hatfield, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Weeks, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Berg, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Alford, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Bonner, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Dejesus, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Stout, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Best, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Sargent, row 11, and priority value 111
OLD PROCEDURE: Removing passenger with lastname Wilder, row 11, and priority value 111
OLD PROCEDURE: Removing passenger with lastname Sheppard, row 11, and priority value 111
OLD PROCEDURE: Removing passenger with lastname Merritt, row 11, and priority value 111
OLD PROCEDURE: Removing passenger with lastname Blevins, row 11, and priority value 111
OLD PROCEDURE: Removing passenger with lastname Hurley, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Chang, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Bernard, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Kane, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Cash, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Lott, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Rojas, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Ratliff, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Hickman, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Delaney, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Barron, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Conrad, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Conway, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Chaney, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Dillon, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Whitley, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Clemons, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Barry, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Pickett, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Strong, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Pugh, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Lara, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname England, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Craft, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Huber, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Mcconnell, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Mckay, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Calderon, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Slater, row 6, and priority value 106
OLD PROCEDURE: Removing passenger with lastname Kaufman, row 6, and priority value 106
OLD PROCEDURE: Removing passenger with lastname Puckett, row 6, and priority value 106
OLD PROCEDURE: Removing passenger with lastname Suarez, row 6, and priority value 106
OLD PROCEDURE: Removing passenger with lastname Mullen, row 6, and priority value 106
OLD PROCEDURE: Removing passenger with lastname Cooke, row 6, and priority value 106
OLD PROCEDURE: Removing passenger with lastname Yang, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Bolton, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Faulkner, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Emerson, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Holcomb, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Frye, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Haney, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Barr, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Oneil, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Carney, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Burt, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Macias, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Cervantes, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Head, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Hendricks, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Jarvis, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Morin, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Ewing, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Frederick, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Foley, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Frost, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Fry, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Maynard, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Preston, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Baird, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Wooten, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Knowles, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Mays, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Good, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Dunlap, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Mcmahon, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Giles, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Mayo, row 1, and priority value 101
OLD PROCEDURE: Total time taken: 93.80 minutes
NEW PROCEDURE: Removing passenger with lastname Macdonald, row 18, and priority value 318
NEW PROCEDURE: Removing passenger with lastname Benjamin, row 15, and priority value 315
NEW PROCEDURE: Removing passenger with lastname Velez, row 14, and priority value 314
NEW PROCEDURE: Removing passenger with lastname Hopper, row 7, and priority value 307
NEW PROCEDURE: Removing passenger with lastname Kidd, row 6, and priority value 306
NEW PROCEDURE: Removing passenger with lastname Donovan, row 6, and priority value 306
NEW PROCEDURE: Removing passenger with lastname Terrell, row 3, and priority value 303
NEW PROCEDURE: Removing passenger with lastname Gould, row 26, and priority value 226
NEW PROCEDURE: Removing passenger with lastname Stanton, row 26, and priority value 226
NEW PROCEDURE: Removing passenger with lastname Rivas, row 26, and priority value 226
NEW PROCEDURE: Removing passenger with lastname Hays, row 26, and priority value 226
NEW PROCEDURE: Removing passenger with lastname Mccarty, row 24, and priority value 224
NEW PROCEDURE: Removing passenger with lastname Trujillo, row 24, and priority value 224
NEW PROCEDURE: Removing passenger with lastname Randolph, row 23, and priority value 223
NEW PROCEDURE: Removing passenger with lastname Galloway, row 23, and priority value 223
NEW PROCEDURE: Removing passenger with lastname Fulton, row 20, and priority value 220
NEW PROCEDURE: Removing passenger with lastname Dodson, row 20, and priority value 220
NEW PROCEDURE: Removing passenger with lastname Mccray, row 19, and priority value 219
NEW PROCEDURE: Removing passenger with lastname Pate, row 19, and priority value 219
NEW PROCEDURE: Removing passenger with lastname Cherry, row 18, and priority value 218
NEW PROCEDURE: Removing passenger with lastname Buckley, row 17, and priority value 217
NEW PROCEDURE: Removing passenger with lastname Lindsay, row 16, and priority value 216
NEW PROCEDURE: Removing passenger with lastname Dale, row 16, and priority value 216
NEW PROCEDURE: Removing passenger with lastname Herring, row 15, and priority value 215
NEW PROCEDURE: Removing passenger with lastname Bray, row 14, and priority value 214
NEW PROCEDURE: Removing passenger with lastname Benton, row 13, and priority value 213
NEW PROCEDURE: Removing passenger with lastname Bartlett, row 13, and priority value 213
NEW PROCEDURE: Removing passenger with lastname Britt, row 11, and priority value 211
NEW PROCEDURE: Removing passenger with lastname Vaughan, row 11, and priority value 211
NEW PROCEDURE: Removing passenger with lastname Roach, row 11, and priority value 211
NEW PROCEDURE: Removing passenger with lastname Solis, row 11, and priority value 211
NEW PROCEDURE: Removing passenger with lastname Tillman, row 10, and priority value 210
NEW PROCEDURE: Removing passenger with lastname Compton, row 10, and priority value 210
NEW PROCEDURE: Removing passenger with lastname Landry, row 10, and priority value 210
NEW PROCEDURE: Removing passenger with lastname Levine, row 9, and priority value 209
NEW PROCEDURE: Removing passenger with lastname Castaneda, row 9, and priority value 209
NEW PROCEDURE: Removing passenger with lastname Mayer, row 9, and priority value 209
NEW PROCEDURE: Removing passenger with lastname Levy, row 9, and priority value 209
NEW PROCEDURE: Removing passenger with lastname Nieves, row 9, and priority value 209
NEW PROCEDURE: Removing passenger with lastname Odom, row 8, and priority value 208
NEW PROCEDURE: Removing passenger with lastname Odonnell, row 8, and priority value 208
NEW PROCEDURE: Removing passenger with lastname Valencia, row 7, and priority value 207
NEW PROCEDURE: Removing passenger with lastname Holman, row 7, and priority value 207
NEW PROCEDURE: Removing passenger with lastname Estes, row 7, and priority value 207
NEW PROCEDURE: Removing passenger with lastname Gay, row 6, and priority value 206
NEW PROCEDURE: Removing passenger with lastname Rivers, row 6, and priority value 206
NEW PROCEDURE: Removing passenger with lastname Rasmussen, row 5, and priority value 205
NEW PROCEDURE: Removing passenger with lastname Rollins, row 5, and priority value 205
NEW PROCEDURE: Removing passenger with lastname Holder, row 5, and priority value 205
NEW PROCEDURE: Removing passenger with lastname Durham, row 5, and priority value 205
NEW PROCEDURE: Removing passenger with lastname Moon, row 2, and priority value 202
NEW PROCEDURE: Removing passenger with lastname Vinson, row 1, and priority value 201
NEW PROCEDURE: Removing passenger with lastname Solomon, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Oneil, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Carrillo, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Brennan, row 19, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Nolan, row 20, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Frederick, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Pollard, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Guy, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Haley, row 18, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Le, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Berger, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Berg, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Russo, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Irwin, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Fitzpatrick, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Dillard, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname David, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Puckett, row 6, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcgowan, row 18, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Oneill, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Richmond, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Valenzuela, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Stuart, row 19, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Frye, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Barry, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Good, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Delaney, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Whitney, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Horne, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bolton, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Ratliff, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Alford, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Donaldson, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcmahon, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Kirkland, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Peck, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Morin, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Craft, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Sosa, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Raymond, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Battle, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Dejesus, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Kinney, row 21, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Yang, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hurley, row 10, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bird, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Rocha, row 24, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Beach, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cote, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Noel, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Carey, row 19, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcfarland, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Case, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Wynn, row 15, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Orr, row 19, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Stout, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Pacheco, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Burt, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Strong, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Joyner, row 18, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Dillon, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname England, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hurst, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Maynard, row 2, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Crane, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Pugh, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Sheppard, row 11, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Middleton, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mcconnell, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Frost, row 2, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Finley, row 24, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Dudley, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bean, row 18, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Maddox, row 20, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Buck, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mays, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Kline, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hendricks, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hebert, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Barr, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bentley, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Dickson, row 22, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hinton, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Suarez, row 6, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bright, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Melendez, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Aguirre, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Sykes, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mayo, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Giles, row 1, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Crosby, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cantrell, row 15, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Lott, row 10, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mullen, row 6, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Gilliam, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Jarvis, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Chaney, row 8, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Acevedo, row 14, and priority value 150
