OLD PROCEDURE: Removing passenger with lastname Delacruz, row 22, and priority value 322
OLD PROCEDURE: Removing passenger with lastname Durham, row 5, and priority value 205
OLD PROCEDURE: Removing passenger with lastname Shannon, row 4, and priority value 204
OLD PROCEDURE: Removing passenger with lastname Herman, row 3, and priority value 203
OLD PROCEDURE: Removing passenger with lastname Rush, row 3, and priority value 203
OLD PROCEDURE: Removing passenger with lastname Kent, row 2, and priority value 202
OLD PROCEDURE: Removing passenger with lastname Moon, row 2, and priority value 202
OLD PROCEDURE: Removing passenger with lastname Noel, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Knapp, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Mcknight, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Valenzuela, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Camacho, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Case, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Mcfarland, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname English, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Potts, row 26, and priority value 126
OLD PROCEDURE: Removing passenger with lastname Cleveland, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Hurst, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Gilliam, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Reilly, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Bright, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Livingston, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Stark, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Hull, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Rowland, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Donaldson, row 25, and priority value 125
OLD PROCEDURE: Removing passenger with lastname Juarez, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Calhoun, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Gamble, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Talley, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Vance, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Farrell, row 24, and priority value 124
OLD PROCEDURE: Removing passenger with lastname Pacheco, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Vang, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Riggs, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Joyce, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Whitfield, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Ellison, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Chen, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Holden, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Pace, row 23, and priority value 123
OLD PROCEDURE: Removing passenger with lastname Henson, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Shields, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Mcmillan, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Guy, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Battle, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Whitney, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Oneill, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Nixon, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Mcintosh, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Miranda, row 22, and priority value 122
OLD PROCEDURE: Removing passenger with lastname Carrillo, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Beard, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Workman, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Kinney, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Browning, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Hyde, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Prince, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Pennington, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Solomon, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Spears, row 21, and priority value 121
OLD PROCEDURE: Removing passenger with lastname Mooney, row 20, and priority value 120
OLD PROCEDURE: Removing passenger with lastname Cantu, row 20, and priority value 120
OLD PROCEDURE: Removing passenger with lastname Avery, row 20, and priority value 120
OLD PROCEDURE: Removing passenger with lastname Blackburn, row 20, and priority value 120
OLD PROCEDURE: Removing passenger with lastname Hooper, row 20, and priority value 120
OLD PROCEDURE: Removing passenger with lastname Nolan, row 20, and priority value 120
OLD PROCEDURE: Removing passenger with lastname Tanner, row 20, and priority value 120
OLD PROCEDURE: Removing passenger with lastname Everett, row 20, and priority value 120
OLD PROCEDURE: Removing passenger with lastname Carey, row 19, and priority value 119
OLD PROCEDURE: Removing passenger with lastname Orr, row 19, and priority value 119
OLD PROCEDURE: Removing passenger with lastname Gillespie, row 19, and priority value 119
OLD PROCEDURE: Removing passenger with lastname Shepard, row 19, and priority value 119
OLD PROCEDURE: Removing passenger with lastname Daugherty, row 19, and priority value 119
OLD PROCEDURE: Removing passenger with lastname Stein, row 19, and priority value 119
OLD PROCEDURE: Removing passenger with lastname Brennan, row 19, and priority value 119
OLD PROCEDURE: Removing passenger with lastname Barlow, row 18, and priority value 118
OLD PROCEDURE: Removing passenger with lastname Wilkinson, row 18, and priority value 118
OLD PROCEDURE: Removing passenger with lastname Justice, row 18, and priority value 118
OLD PROCEDURE: Removing passenger with lastname Lancaster, row 18, and priority value 118
OLD PROCEDURE: Removing passenger with lastname Joyner, row 18, and priority value 118
OLD PROCEDURE: Removing passenger with lastname Haley, row 18, and priority value 118
OLD PROCEDURE: Removing passenger with lastname Villarreal, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Petersen, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Hoover, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Wyatt, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Bond, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Le, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Dillard, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Crane, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Langley, row 17, and priority value 117
OLD PROCEDURE: Removing passenger with lastname Mcneil, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Petty, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Beach, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Mccall, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Michael, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Burch, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Mckee, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Franco, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Peck, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Richmond, row 16, and priority value 116
OLD PROCEDURE: Removing passenger with lastname Byers, row 15, and priority value 115
OLD PROCEDURE: Removing passenger with lastname Key, row 15, and priority value 115
OLD PROCEDURE: Removing passenger with lastname Wynn, row 15, and priority value 115
OLD PROCEDURE: Removing passenger with lastname Downs, row 15, and priority value 115
OLD PROCEDURE: Removing passenger with lastname Osborn, row 15, and priority value 115
OLD PROCEDURE: Removing passenger with lastname Coffey, row 15, and priority value 115
OLD PROCEDURE: Removing passenger with lastname Goff, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Bird, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Irwin, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Raymond, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Buckner, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Cote, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Noble, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Farley, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Decker, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Guerra, row 14, and priority value 114
OLD PROCEDURE: Removing passenger with lastname Horne, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Riddle, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Hatfield, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname David, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Walls, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Cline, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Russo, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname House, row 13, and priority value 113
OLD PROCEDURE: Removing passenger with lastname Stout, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Dejesus, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Berg, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Meadows, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Dotson, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Hewitt, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Bonner, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Mercado, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Weeks, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Alford, row 12, and priority value 112
OLD PROCEDURE: Removing passenger with lastname Deleon, row 11, and priority value 111
OLD PROCEDURE: Removing passenger with lastname Pruitt, row 11, and priority value 111
OLD PROCEDURE: Removing passenger with lastname Blanchard, row 11, and priority value 111
OLD PROCEDURE: Removing passenger with lastname Merritt, row 11, and priority value 111
OLD PROCEDURE: Removing passenger with lastname Guthrie, row 11, and priority value 111
OLD PROCEDURE: Removing passenger with lastname Mcleod, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Barrera, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Merrill, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Rojas, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Hurley, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Chang, row 10, and priority value 110
OLD PROCEDURE: Removing passenger with lastname Barron, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Duran, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Mejia, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Branch, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Morse, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Conway, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Harding, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Conrad, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Hickman, row 9, and priority value 109
OLD PROCEDURE: Removing passenger with lastname Santana, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Barry, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Hendrix, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Dillon, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Lara, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Rosario, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Strong, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Hester, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Hahn, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname England, row 8, and priority value 108
OLD PROCEDURE: Removing passenger with lastname Rosa, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Mckay, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Craft, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Huber, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Franks, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Ferrell, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Calderon, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Foreman, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Cardenas, row 7, and priority value 107
OLD PROCEDURE: Removing passenger with lastname Lynn, row 6, and priority value 106
OLD PROCEDURE: Removing passenger with lastname Spence, row 6, and priority value 106
OLD PROCEDURE: Removing passenger with lastname Slater, row 6, and priority value 106
OLD PROCEDURE: Removing passenger with lastname Cooke, row 6, and priority value 106
OLD PROCEDURE: Removing passenger with lastname Witt, row 6, and priority value 106
OLD PROCEDURE: Removing passenger with lastname Puckett, row 6, and priority value 106
OLD PROCEDURE: Removing passenger with lastname Velazquez, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Waller, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Valentine, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Madden, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Yang, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Cotton, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Nielsen, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Bolton, row 5, and priority value 105
OLD PROCEDURE: Removing passenger with lastname Oneil, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Burt, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Haney, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Frye, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Koch, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Kerr, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Leon, row 4, and priority value 104
OLD PROCEDURE: Removing passenger with lastname Ewing, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Grimes, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Morin, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Mosley, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Cervantes, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Frederick, row 3, and priority value 103
OLD PROCEDURE: Removing passenger with lastname Walter, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Preston, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Bauer, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Burris, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Maynard, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Fry, row 2, and priority value 102
OLD PROCEDURE: Removing passenger with lastname Winters, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Olsen, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Giles, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Good, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Dunlap, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Woodard, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Lester, row 1, and priority value 101
OLD PROCEDURE: Removing passenger with lastname Mcmahon, row 1, and priority value 101
OLD PROCEDURE: Total time taken: 112.55 minutes
NEW PROCEDURE: Removing passenger with lastname Delacruz, row 22, and priority value 322
NEW PROCEDURE: Removing passenger with lastname Trevino, row 21, and priority value 321
NEW PROCEDURE: Removing passenger with lastname Dorsey, row 18, and priority value 318
NEW PROCEDURE: Removing passenger with lastname Howe, row 18, and priority value 318
NEW PROCEDURE: Removing passenger with lastname Church, row 15, and priority value 315
NEW PROCEDURE: Removing passenger with lastname Benjamin, row 15, and priority value 315
NEW PROCEDURE: Removing passenger with lastname Velez, row 14, and priority value 314
NEW PROCEDURE: Removing passenger with lastname Velasquez, row 12, and priority value 312
NEW PROCEDURE: Removing passenger with lastname Kidd, row 6, and priority value 306
NEW PROCEDURE: Removing passenger with lastname Donovan, row 6, and priority value 306
NEW PROCEDURE: Removing passenger with lastname Stanton, row 26, and priority value 226
NEW PROCEDURE: Removing passenger with lastname Hays, row 26, and priority value 226
NEW PROCEDURE: Removing passenger with lastname Serrano, row 26, and priority value 226
NEW PROCEDURE: Removing passenger with lastname Mccullough, row 25, and priority value 225
NEW PROCEDURE: Removing passenger with lastname Trujillo, row 24, and priority value 224
NEW PROCEDURE: Removing passenger with lastname Clements, row 24, and priority value 224
NEW PROCEDURE: Removing passenger with lastname Randolph, row 23, and priority value 223
NEW PROCEDURE: Removing passenger with lastname Galloway, row 23, and priority value 223
NEW PROCEDURE: Removing passenger with lastname Stephenson, row 23, and priority value 223
NEW PROCEDURE: Removing passenger with lastname Snider, row 22, and priority value 222
NEW PROCEDURE: Removing passenger with lastname York, row 21, and priority value 221
NEW PROCEDURE: Removing passenger with lastname Tyson, row 20, and priority value 220
NEW PROCEDURE: Removing passenger with lastname Fulton, row 20, and priority value 220
NEW PROCEDURE: Removing passenger with lastname Dodson, row 20, and priority value 220
NEW PROCEDURE: Removing passenger with lastname Mcpherson, row 19, and priority value 219
NEW PROCEDURE: Removing passenger with lastname Pate, row 19, and priority value 219
NEW PROCEDURE: Removing passenger with lastname Mccray, row 19, and priority value 219
NEW PROCEDURE: Removing passenger with lastname Sampson, row 19, and priority value 219
NEW PROCEDURE: Removing passenger with lastname Woodward, row 18, and priority value 218
NEW PROCEDURE: Removing passenger with lastname Cherry, row 18, and priority value 218
NEW PROCEDURE: Removing passenger with lastname Alston, row 17, and priority value 217
NEW PROCEDURE: Removing passenger with lastname Dale, row 16, and priority value 216
NEW PROCEDURE: Removing passenger with lastname Bradshaw, row 16, and priority value 216
NEW PROCEDURE: Removing passenger with lastname Ochoa, row 15, and priority value 215
NEW PROCEDURE: Removing passenger with lastname Herring, row 15, and priority value 215
NEW PROCEDURE: Removing passenger with lastname Bray, row 14, and priority value 214
NEW PROCEDURE: Removing passenger with lastname Mcfadden, row 13, and priority value 213
NEW PROCEDURE: Removing passenger with lastname Benton, row 13, and priority value 213
NEW PROCEDURE: Removing passenger with lastname Golden, row 13, and priority value 213
NEW PROCEDURE: Removing passenger with lastname Bartlett, row 13, and priority value 213
NEW PROCEDURE: Removing passenger with lastname Mercer, row 12, and priority value 212
NEW PROCEDURE: Removing passenger with lastname Travis, row 11, and priority value 211
NEW PROCEDURE: Removing passenger with lastname Burks, row 11, and priority value 211
NEW PROCEDURE: Removing passenger with lastname Roach, row 11, and priority value 211
NEW PROCEDURE: Removing passenger with lastname Solis, row 11, and priority value 211
NEW PROCEDURE: Removing passenger with lastname Sanford, row 10, and priority value 210
NEW PROCEDURE: Removing passenger with lastname Finch, row 10, and priority value 210
NEW PROCEDURE: Removing passenger with lastname Hayden, row 10, and priority value 210
NEW PROCEDURE: Removing passenger with lastname Tillman, row 10, and priority value 210
NEW PROCEDURE: Removing passenger with lastname Keith, row 9, and priority value 209
NEW PROCEDURE: Removing passenger with lastname Nieves, row 9, and priority value 209
NEW PROCEDURE: Removing passenger with lastname Odom, row 8, and priority value 208
NEW PROCEDURE: Removing passenger with lastname Sears, row 8, and priority value 208
NEW PROCEDURE: Removing passenger with lastname Duffy, row 7, and priority value 207
NEW PROCEDURE: Removing passenger with lastname Duke, row 6, and priority value 206
NEW PROCEDURE: Removing passenger with lastname Cooley, row 6, and priority value 206
NEW PROCEDURE: Removing passenger with lastname Gay, row 6, and priority value 206
NEW PROCEDURE: Removing passenger with lastname Stafford, row 6, and priority value 206
NEW PROCEDURE: Removing passenger with lastname Rollins, row 5, and priority value 205
NEW PROCEDURE: Removing passenger with lastname Durham, row 5, and priority value 205
NEW PROCEDURE: Removing passenger with lastname Shannon, row 4, and priority value 204
NEW PROCEDURE: Removing passenger with lastname Herman, row 3, and priority value 203
NEW PROCEDURE: Removing passenger with lastname Rush, row 3, and priority value 203
NEW PROCEDURE: Removing passenger with lastname Kent, row 2, and priority value 202
NEW PROCEDURE: Removing passenger with lastname Moon, row 2, and priority value 202
NEW PROCEDURE: Removing passenger with lastname House, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Guthrie, row 11, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Joyner, row 18, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Walls, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mercado, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Cotton, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Crane, row 17, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Coffey, row 15, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bauer, row 2, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Franks, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Bonner, row 12, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Camacho, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Morse, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Lancaster, row 18, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Hooper, row 20, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Ferrell, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Livingston, row 25, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Velazquez, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Frederick, row 3, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Kerr, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Branch, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Burch, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Valenzuela, row 26, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Rosa, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Harding, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Burris, row 2, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Raymond, row 14, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Koch, row 4, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Blackburn, row 20, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Talley, row 24, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Wynn, row 15, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Riddle, row 13, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Lynn, row 6, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Foreman, row 7, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Slater, row 6, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Mejia, row 9, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Blanchard, row 11, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Michael, row 16, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Whitfield, row 23, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Valentine, row 5, and priority value 150
NEW PROCEDURE: Removing passenger with lastname Joyce, row 23, and priority value 150
